project_name,region,sector,budget_npr,status
Airport Access Road Repair,Pokhara,Roads,80000000,ongoing
Lakeside School Renovation,Pokhara,Education,35000000,completed
Urban Clinic Expansion,Pokhara,Health,25000000,ongoing
Ring Road Resurfacing,Kathmandu,Roads,220000000,ongoing
Water Pipeline Phase II,Kathmandu,Water,85000000,planned
STEM Labs for 10 Schools,Biratnagar,Education,38000000,planned
Solar Street Light Pilot,Biratnagar,Energy,14000000,completed
Highway Shoulder Repair,Butwal,Roads,60000000,ongoing
Maternal Health Outreach,Butwal,Health,18000000,planned
Janakpur Community Wells,Janakpur,Water,11000000,completed
